,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
1930-1939,0.0,0.167,0.0,0.167,0.0,0.0,0.167,0.167,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.103,0.154,0.0,0.0,0.179,0.026,0.051,0.026,0.0,0.205,0.026,0.0,0.026,0.0,0.077,0.026,0.0,0.103,0.0
1950-1959,0.029,0.088,0.0,0.015,0.074,0.044,0.029,0.103,0.0,0.221,0.088,0.059,0.044,0.015,0.0,0.044,0.015,0.103,0.029
1960-1969,0.086,0.031,0.0,0.008,0.031,0.047,0.089,0.191,0.0,0.123,0.073,0.065,0.039,0.021,0.031,0.047,0.029,0.06,0.029
1970-1979,0.136,0.008,0.0,0.0,0.014,0.05,0.105,0.161,0.0,0.073,0.072,0.082,0.064,0.039,0.039,0.047,0.03,0.034,0.043
1980-1989,0.185,0.002,0.0,0.0,0.002,0.065,0.114,0.123,0.0,0.087,0.062,0.068,0.062,0.031,0.041,0.057,0.046,0.031,0.024
1990-1999,0.22,0.001,0.0,0.0,0.006,0.095,0.115,0.056,0.0,0.073,0.053,0.06,0.081,0.018,0.066,0.045,0.046,0.03,0.036
2000-2009,0.315,0.001,0.0,0.0,0.0,0.122,0.06,0.026,0.0,0.041,0.037,0.063,0.055,0.014,0.073,0.064,0.067,0.031,0.03
2010-2019,0.263,0.0,0.0,0.0,0.0,0.149,0.066,0.035,0.0,0.052,0.044,0.075,0.039,0.019,0.071,0.095,0.042,0.021,0.029
2020-2029,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.2,0.0
Total,0.14,0.041,0.0,0.04,0.028,0.063,0.091,0.081,0.0,0.095,0.064,0.043,0.075,0.014,0.054,0.048,0.025,0.078,0.02
