,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,2,4,0,0,0,1,0,0,0,1,1,3,1,0,1,3,1,0,0
1930-1939,2,4,0,2,6,2,1,3,0,3,6,0,0,0,0,4,0,6,0
1940-1949,16,33,0,6,6,3,17,17,0,19,11,8,5,1,2,7,2,23,1
1950-1959,13,18,0,8,14,3,21,22,0,30,10,0,2,3,4,7,0,19,2
1960-1969,89,19,0,9,32,36,82,115,0,73,83,58,32,34,17,26,20,35,26
1970-1979,234,9,0,4,19,84,192,274,0,166,140,115,106,71,56,78,45,53,62
1980-1989,254,4,0,1,5,83,143,144,0,86,73,119,61,41,53,60,50,32,27
1990-1999,438,1,0,1,3,119,182,98,0,130,91,106,121,38,83,83,68,50,70
2000-2009,611,0,0,0,4,268,89,61,0,95,61,109,102,35,138,92,150,45,67
2010-2019,447,0,0,1,1,271,80,44,0,75,53,99,67,13,126,97,116,27,39
2020-2029,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
Total,2107,92,0,32,90,870,807,778,0,679,530,617,497,236,481,457,453,290,294
