,0,1,2,3,4
1920-1929,0.089,0.079,0.274,0.068,0.489
1930-1939,0.09,0.086,0.353,0.065,0.406
1940-1949,0.115,0.092,0.35,0.086,0.357
1950-1959,0.14,0.119,0.317,0.125,0.299
1960-1969,0.162,0.161,0.25,0.202,0.225
1970-1979,0.199,0.2,0.17,0.274,0.157
1980-1989,0.217,0.237,0.161,0.269,0.117
1990-1999,0.264,0.303,0.1,0.226,0.107
2000-2009,0.229,0.364,0.081,0.248,0.078
2010-2019,0.217,0.366,0.078,0.271,0.068
2020-2029,0.271,0.25,0.0,0.417,0.062
Total,0.18,0.214,0.2,0.197,0.209
