,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1930-1939,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,1,3,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0
1960-1969,2,93,109,57,57,2,51,3,46,41,30,123,1,1,2,2,12,14,0,23
1970-1979,10,148,156,168,130,5,120,2,136,74,88,98,3,4,12,2,60,17,4,3
1980-1989,36,186,139,169,134,19,164,16,116,69,108,41,5,30,28,6,38,34,11,5
1990-1999,140,141,55,54,69,54,35,30,48,64,31,20,37,47,55,25,31,46,23,14
2000-2009,269,33,13,1,10,108,0,76,7,24,12,1,53,72,62,27,18,22,25,1
2010-2019,290,37,4,2,3,171,0,164,0,15,11,2,104,70,43,69,7,10,21,0
2020-2029,8,2,1,0,0,6,0,2,0,1,0,0,6,4,1,0,0,1,0,0
Total,755,643,484,451,403,366,371,294,354,288,280,286,209,228,204,132,166,144,84,46
