,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
1930-1939,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
1960-1969,0.008,0.363,0.234,0.024,0.008,0.016,0.0,0.024,0.0,0.081,0.0,0.089,0.0,0.008,0.016,0.016,0.008,0.105,0.0
1970-1979,0.076,0.248,0.152,0.048,0.019,0.029,0.0,0.019,0.0,0.067,0.01,0.105,0.01,0.01,0.086,0.019,0.0,0.086,0.019
1980-1989,0.138,0.207,0.116,0.026,0.034,0.056,0.0,0.069,0.0,0.022,0.017,0.03,0.013,0.017,0.099,0.026,0.0,0.108,0.022
1990-1999,0.24,0.124,0.035,0.014,0.039,0.088,0.0,0.053,0.0,0.042,0.011,0.009,0.06,0.049,0.095,0.044,0.0,0.064,0.032
2000-2009,0.357,0.029,0.016,0.001,0.003,0.139,0.0,0.104,0.0,0.01,0.015,0.001,0.071,0.08,0.081,0.037,0.0,0.023,0.032
2010-2019,0.288,0.037,0.003,0.002,0.001,0.169,0.0,0.164,0.0,0.014,0.011,0.002,0.102,0.065,0.043,0.069,0.0,0.01,0.021
2020-2029,0.25,0.062,0.031,0.0,0.0,0.188,0.0,0.062,0.0,0.031,0.0,0.0,0.188,0.125,0.031,0.0,0.0,0.031,0.0
Total,0.136,0.177,0.199,0.012,0.01,0.088,0.0,0.05,0.0,0.027,0.006,0.049,0.044,0.035,0.07,0.041,0.001,0.043,0.012
