0,1,2,3,4
beklaga,tidens,beteenden,twitter,fackföreningar
exemplet,föranledd,handlingsmönster,konsumerar,tryckfrihet
dagordningen,dagarna,upplysningsverksamhet,hat,utgiftsområde
utspel,månaderna,fostran,plattformar,lättläst
ställde,malmö,välja,nätet,demokratiminister
lät,etiopien,härtill,internet,bah
folkpartiets,veckorna,ang,facebook,civilsamhälle
bevakningen,sovjetiska,konsumentupplysning,alternativa,trossamfund
socialdemokratin,sovjetunionen,datamaskiner,tryckta,tillgänglighet
ligga,deltagit,utskotten,flickor,vakt
tyst,nedläggning,ungdomen,bloggar,kulturliv
påstå,sommaren,påträngande,iranska,oberoende
trodde,veckan,direktiven,traditionella,alice
tyckte,gångna,räckvidd,tekniken,demokratiskt
desto,cirkulerat,mediets,skrifter,domstolar
någonting,frågat,ekonomisk,medievanor,public
väcker,senaste,skada,etablera,åsiktsbildningen
emellan,publicerats,inverkan,vuxna,förutsättning
massmedial,beskrivits,televisionen,rörliga,opposition
honom,rapporterat,forskningen,the,självständiga
