lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.09,0.252,0.011,0.007,0.155,0.159,0.127,0.0,0.123,0.076
medi,0.269,0.021,0.201,0.203,0.048,0.024,0.016,0.143,0.019,0.056
