,0,1,2,3,4
1920-1929,0.005,0.663,0.317,0.01,0.005
1930-1939,0.005,0.546,0.437,0.009,0.003
1940-1949,0.025,0.512,0.416,0.025,0.021
1950-1959,0.034,0.456,0.446,0.044,0.02
1960-1969,0.146,0.339,0.305,0.115,0.095
1970-1979,0.287,0.175,0.14,0.207,0.191
1980-1989,0.291,0.102,0.105,0.244,0.258
1990-1999,0.249,0.054,0.064,0.289,0.344
2000-2009,0.231,0.033,0.041,0.246,0.45
2010-2019,0.237,0.02,0.037,0.235,0.472
2020-2029,0.266,0.031,0.0,0.172,0.531
Total,0.162,0.266,0.21,0.145,0.217
