0,1,2,3,4
ge,ge,både,svenska,tagit
ytterligare,nå,ge,fråga,fråga
lämna,sprida,sprida,sprida,frågan
utskottet,bör,samt,bör,tycker
talman,föra,frågor,tror,utskottet
vissa,allmänheten,ökad,sätt,fru
lämnat,människor,behovet,land,talman
statsrådet,sätt,forskning,område,tror
herr,tillgång,allmänheten,viss,ny
anledning,all,tillgång,m,riksdagen
endast,kunskap,åtgärder,herr,all
lämnas,ger,utbildning,intressant,fall
lämnats,behöver,dels,driva,regeringen
kammaren,ges,stöd,objektiv,år
närmare,möjlighet,verksamhet,politisk,ger
kompletterande,skaffa,kunskap,ganska,tillräcklig
inhämtat,möjligheter,nya,bedriva,faktiskt
inhämta,konsumenterna,behov,landet,vet
lämnade,korrekt,a,politiska,felaktig
rörande,se,rådgivning,hela,väldigt
