,0,1,2,3,4
1920-1929,0.62,0.003,0.02,0.342,0.014
1930-1939,0.511,0.004,0.024,0.45,0.011
1940-1949,0.493,0.022,0.039,0.414,0.031
1950-1959,0.45,0.02,0.055,0.438,0.037
1960-1969,0.345,0.104,0.155,0.289,0.106
1970-1979,0.186,0.215,0.259,0.135,0.205
1980-1989,0.11,0.261,0.277,0.096,0.257
1990-1999,0.054,0.314,0.288,0.06,0.284
2000-2009,0.035,0.355,0.28,0.037,0.293
2010-2019,0.021,0.365,0.287,0.041,0.287
2020-2029,0.039,0.362,0.283,0.031,0.283
