,0,1,2,3,4
1920-1929,0.25,0.75,0.0,0.0,0.0
1930-1939,0.167,0.5,0.0,0.0,0.333
1940-1949,0.436,0.128,0.205,0.0,0.231
1950-1959,0.353,0.118,0.206,0.0,0.324
1960-1969,0.099,0.227,0.342,0.0,0.332
1970-1979,0.041,0.293,0.373,0.003,0.29
1980-1989,0.013,0.292,0.353,0.001,0.341
1990-1999,0.011,0.366,0.327,0.0,0.297
2000-2009,0.003,0.431,0.304,0.0,0.263
2010-2019,0.002,0.421,0.282,0.004,0.292
2020-2029,0.0,0.4,0.4,0.0,0.2
Total,0.031,0.333,0.332,0.001,0.303
