lemmas,0,1,2,3,4,5,6,7,8,9
info,1966,10166,9,8744,6696,7267,7171,7044,24,896
prop,1,2,9475,1,2,4,3,4,2,1
uppl,10251,4,38,12,1307,11,11,6,6461,5065
