,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,999,229,98,221,144,170,273,491,215,112,123,186,177,275,415,215,204,209,159,279
1930-1939,352,150,66,121,93,100,346,203,110,79,83,49,112,173,212,122,98,127,95,158
1940-1949,1442,621,252,547,334,471,1207,912,546,371,347,338,364,619,856,558,521,503,426,564
1950-1959,2361,1254,538,1264,959,1043,2031,1974,1276,788,920,916,853,1415,2024,1193,1186,942,922,1366
1960-1969,1970,1539,943,1656,1586,1184,1843,2091,1663,1460,1278,1397,1263,2065,1876,1554,1613,1498,1375,1487
1970-1979,1374,1755,1306,1419,2007,1682,1399,1791,1653,1902,1419,1443,1732,2045,1489,1548,1588,1738,1765,1594
1980-1989,880,1419,1510,1442,1787,1516,966,1098,1515,1558,1454,1579,1602,1387,1120,1311,1287,1518,1664,1252
1990-1999,507,981,1189,858,1312,1267,549,805,1209,1218,1120,1138,1111,805,722,803,973,910,1022,919
2000-2009,425,1079,2196,1029,1409,1410,597,651,1170,1355,1476,1314,1192,854,699,1093,1192,1029,1124,1006
2010-2019,181,427,1000,454,515,613,243,253,435,527,754,542,501,338,293,447,528,515,563,478
2020-2029,7,6,20,4,10,3,13,9,6,15,7,14,10,10,3,5,21,8,5,5
Total,10498,9460,9118,9015,10156,9459,9467,10278,9798,9385,8981,8916,8917,9986,9709,8849,9211,8997,9120,9108
