,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,2799,862,332,738,373,582,1568,1689,686,487,505,519,610,786,1610,629,620,589,606,1080
1930-1939,3038,1075,453,1074,612,884,2794,2320,876,618,676,785,743,1202,1931,989,907,821,768,1342
1940-1949,2569,1054,459,910,558,729,1990,1534,833,613,610,714,636,980,1711,730,835,744,882,1031
1950-1959,1859,1050,509,1117,770,867,2049,1759,1142,640,732,819,830,1278,1736,1040,1119,980,829,1252
1960-1969,2051,1547,907,1614,1587,1629,2149,2033,1592,1503,1209,1325,1223,2070,1919,1592,1557,1538,1492,1502
1970-1979,1604,2067,1419,1842,2310,1930,1584,2081,1997,1936,1760,1774,2009,2139,1633,1872,1786,2093,1946,1824
1980-1989,1147,1949,1709,1734,2209,1894,1563,1525,2076,2074,1793,1918,2097,1690,1483,1753,1639,1833,2163,1524
1990-1999,785,1812,2132,1469,2201,2265,915,1404,1847,2049,2142,1973,2097,1435,1176,1582,1758,1776,1913,1647
2000-2009,617,1288,2681,1219,1773,1904,769,830,1560,1739,2001,1805,1517,1012,1005,1363,1431,1282,1338,1398
2010-2019,487,1086,2758,975,1461,1481,609,639,1295,1486,1626,1429,1344,821,649,1388,1265,1270,1367,976
2020-2029,10,27,48,34,15,34,13,9,18,61,31,21,37,9,16,31,25,40,28,15
Total,16966,13817,13407,12726,13869,14199,16003,15823,13922,13206,13085,13082,13143,13422,14869,12969,12942,12966,13332,13591
