,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.164,0.044,0.017,0.045,0.023,0.037,0.076,0.098,0.037,0.026,0.027,0.031,0.035,0.053,0.094,0.04,0.031,0.034,0.03,0.056
1930-1939,0.125,0.046,0.018,0.049,0.027,0.038,0.116,0.092,0.034,0.026,0.03,0.035,0.035,0.05,0.085,0.039,0.037,0.038,0.027,0.052
1940-1949,0.11,0.045,0.022,0.049,0.028,0.037,0.117,0.078,0.043,0.031,0.032,0.031,0.033,0.051,0.079,0.04,0.044,0.043,0.037,0.052
1950-1959,0.082,0.048,0.02,0.048,0.042,0.043,0.087,0.073,0.051,0.034,0.039,0.039,0.036,0.066,0.068,0.043,0.048,0.044,0.037,0.051
1960-1969,0.058,0.049,0.03,0.052,0.049,0.049,0.056,0.059,0.05,0.051,0.039,0.038,0.044,0.075,0.056,0.047,0.05,0.052,0.047,0.049
1970-1979,0.038,0.052,0.042,0.05,0.066,0.053,0.044,0.051,0.054,0.061,0.044,0.049,0.051,0.054,0.041,0.048,0.047,0.053,0.056,0.048
1980-1989,0.032,0.053,0.051,0.047,0.073,0.058,0.044,0.033,0.051,0.052,0.052,0.057,0.058,0.048,0.038,0.049,0.049,0.051,0.055,0.049
1990-1999,0.023,0.052,0.052,0.044,0.057,0.069,0.026,0.048,0.062,0.06,0.059,0.059,0.061,0.038,0.037,0.046,0.054,0.048,0.058,0.046
2000-2009,0.021,0.053,0.095,0.039,0.063,0.067,0.023,0.031,0.053,0.059,0.066,0.062,0.057,0.032,0.034,0.051,0.06,0.044,0.045,0.044
2010-2019,0.02,0.046,0.109,0.041,0.062,0.065,0.023,0.027,0.049,0.062,0.072,0.056,0.057,0.032,0.028,0.056,0.052,0.05,0.05,0.045
2020-2029,0.021,0.135,0.156,0.125,0.062,0.0,0.01,0.0,0.052,0.073,0.031,0.052,0.0,0.052,0.021,0.052,0.062,0.01,0.083,0.0
Total,0.06,0.049,0.049,0.046,0.051,0.053,0.057,0.056,0.05,0.049,0.048,0.047,0.048,0.049,0.053,0.047,0.048,0.047,0.046,0.049
