,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.111,0.111,0.0,0.222,0.111,0.333,0.0,0.111,0.0
1930-1939,0.571,0.0,0.286,0.0,0.143,0.0,0.0,0.0,0.0,0.0
1940-1949,0.314,0.098,0.108,0.0,0.088,0.069,0.137,0.0,0.167,0.02
1950-1959,0.414,0.047,0.098,0.005,0.065,0.074,0.084,0.005,0.195,0.014
1960-1969,0.149,0.162,0.14,0.0,0.118,0.139,0.136,0.004,0.147,0.004
1970-1979,0.051,0.18,0.173,0.0,0.138,0.166,0.156,0.002,0.131,0.003
1980-1989,0.013,0.195,0.181,0.0,0.173,0.155,0.157,0.003,0.123,0.0
1990-1999,0.006,0.21,0.193,0.0,0.164,0.124,0.171,0.001,0.131,0.0
2000-2009,0.002,0.224,0.262,0.0,0.166,0.106,0.135,0.002,0.103,0.0
2010-2019,0.002,0.213,0.254,0.0,0.139,0.091,0.159,0.007,0.133,0.002
2020-2029,0.0,0.167,0.333,0.0,0.333,0.0,0.167,0.0,0.0,0.0
Total,0.138,0.146,0.195,0.0,0.159,0.094,0.149,0.002,0.113,0.004
