,0,1,2,3,4,5,6,7,8,9
1920-1929,0,1,1,0,2,1,3,0,1,0
1930-1939,4,0,2,0,1,0,0,0,0,0
1940-1949,32,10,11,0,9,7,14,0,17,2
1950-1959,89,10,21,1,14,16,18,1,42,3
1960-1969,102,111,96,0,81,95,93,3,101,3
1970-1979,60,210,202,0,161,194,182,2,153,3
1980-1989,15,230,214,0,205,183,186,4,145,0
1990-1999,5,179,165,0,140,106,146,1,112,0
2000-2009,2,234,274,0,173,111,141,2,108,0
2010-2019,1,98,117,0,64,42,73,3,61,1
2020-2029,0,1,2,0,2,0,1,0,0,0
Total,310,1084,1105,1,852,755,857,16,740,12
