,0,1,2,3,4
1920-1929,190,0,1,65,8
1930-1939,69,2,3,67,3
1940-1949,295,23,23,231,24
1950-1959,597,24,67,529,60
1960-1969,562,166,251,437,174
1970-1979,299,371,407,232,339
1980-1989,137,393,420,90,374
1990-1999,59,298,299,60,263
2000-2009,29,394,319,42,335
2010-2019,10,170,149,18,139
2020-2029,2,3,2,1,1
Total,2249,1844,1941,1772,1720
