0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ser,fråga,svenska,ge,hoppas,både,regeringens,anställda,svenska,år,fråga,svenska,ge,arbete,hos,år,livsmedel,svenska,ge,år
ge,emellertid,fråga,fråga,ge,ge,fråga,ge,regeringens,tagit,anser,både,avser,behövs,lämna,fråga,ge,sveriges,behöver,ytterligare
tror,frågan,sätt,emellertid,fråga,arbete,regeringen,bör,regeringen,regeringen,sätt,ge,fråga,bör,bör,regeringen,bör,regeringen,barn,miljarder
behövs,lämna,land,frågan,tror,regeringen,ytterligare,samt,partierna,frågan,mening,sveriges,regeringen,samt,tillgång,borde,sätt,internationella,utbildning,kronor
frågan,utskottet,s,lämna,se,stöd,frågan,frågor,borgerliga,vet,särskilt,radio,ytterligare,ökad,möjlighet,början,val,sverige,skolan,ca
se,beträffande,k,utskottets,tycker,sprida,utskottet,nya,socialdemokratiska,håll,naturligtvis,sätt,frågan,särskilt,all,ville,nya,världen,ger,per
tycker,anledning,viss,kammaren,anser,samt,anser,t,håll,skett,ena,människor,tycker,betydelse,vissa,gång,tillgång,land,skola,åren
hela,vissa,m,talman,bör,öka,bör,ex,egna,gång,ganska,nya,frågor,forskning,uppgifter,tid,välja,länder,eleverna,statens
sätt,uppgifter,skola,ordet,sätt,nya,frågor,allmänheten,ekonomiska,senaste,fall,samhället,fru,åtgärder,person,riksdagen,krav,europa,skolorna,medel
människor,fall,verksamhet,nämligen,borde,forskning,utskottets,bl,parti,visat,viss,tillgång,talman,samhället,personer,tiden,exempel,svensk,ges,året
vet,rörande,landet,ord,naturligtvis,åtgärder,förslag,a,debatt,tid,uppfattning,via,herr,område,innebär,december,produkter,utrikesministern,föräldrar,miljoner
naturligtvis,grund,o,herr,vilja,kommuner,riksdagens,berörda,landet,ganska,ger,samhälle,åtgärder,utbildning,myndigheter,gav,varor,länderna,föräldrarna,milj
sverige,endast,såsom,beträffande,veta,uppdrag,sida,m,stället,hittills,form,medborgarna,tacka,dels,lagen,försvarsministern,konsumenterna,usa,skolans,anslag
saker,lämnas,politisk,anledning,allmänheten,arbetet,riksdagen,dels,politiska,gett,klart,ger,tackar,insatser,enskilda,januari,konsumenten,samarbete,barnen,ungefär
väldigt,lämnats,folk,lämnat,behöver,utbildning,propositionen,företag,partier,trots,sidan,möjligheter,svaret,alkohol,enskilde,året,tjänster,utbyte,lärare,antalet
faktiskt,vederbörande,bedriva,statsrådet,fall,myndigheter,betänkande,verksamhet,politisk,fall,råder,debatt,svar,förebyggande,exempel,tog,marknaden,nordiska,ungdomar,belopp
behöver,torde,v,endast,svårt,insatser,motion,råd,partiet,åren,uppgift,kunskap,statsrådet,ökade,regler,gällde,konsumentverket,samarbetet,skriftlig,bidrag
svårt,kungl,äro,anförande,ändå,ansvar,betänkandet,statliga,socialdemokraterna,gånger,brist,politiska,beredd,minska,patienten,november,konsumenter,utlandet,elever,anslaget
kunskap,äro,forts,lämnade,vore,exempel,utredning,företagen,politik,sett,huvud,tv,interpellation,ungdomar,brott,statsministern,konsumenternas,utländska,skolor,pengar
handlar,majt,bedrives,ber,skaffa,förbättra,reservation,kommunala,folkpartiet,funnits,taget,medborgare,frågat,skadeverkningar,polisen,visade,läkemedel,eu,betyg,procent
