,0,1,2,3,4,5,6,7,8,9
1920-1929,0.026,0.172,0.029,0.128,0.14,0.024,0.045,0.219,0.164,0.054
1930-1939,0.077,0.201,0.038,0.154,0.166,0.041,0.043,0.159,0.083,0.037
1940-1949,0.077,0.192,0.059,0.095,0.113,0.041,0.089,0.197,0.079,0.059
1950-1959,0.083,0.146,0.073,0.116,0.142,0.058,0.062,0.144,0.119,0.057
1960-1969,0.084,0.122,0.087,0.103,0.099,0.076,0.086,0.106,0.163,0.074
1970-1979,0.094,0.086,0.098,0.091,0.081,0.101,0.099,0.073,0.17,0.107
1980-1989,0.106,0.086,0.121,0.072,0.07,0.109,0.105,0.061,0.138,0.131
1990-1999,0.107,0.078,0.14,0.072,0.057,0.13,0.109,0.048,0.112,0.146
2000-2009,0.113,0.07,0.144,0.054,0.048,0.151,0.097,0.04,0.1,0.184
2010-2019,0.109,0.063,0.133,0.045,0.053,0.173,0.102,0.037,0.088,0.197
2020-2029,0.074,0.024,0.098,0.033,0.053,0.339,0.096,0.046,0.066,0.171
Total,0.086,0.113,0.093,0.088,0.093,0.113,0.085,0.103,0.117,0.111
