,0,1,2,3,4,5,6,7,8,9
1920-1929,0.062,0.14,0.055,0.166,0.141,0.04,0.058,0.248,0.05,0.041
1930-1939,0.062,0.135,0.054,0.156,0.188,0.039,0.057,0.206,0.056,0.047
1940-1949,0.074,0.128,0.057,0.137,0.184,0.045,0.063,0.198,0.063,0.051
1950-1959,0.091,0.141,0.069,0.138,0.154,0.051,0.07,0.151,0.083,0.052
1960-1969,0.091,0.121,0.084,0.115,0.12,0.077,0.08,0.119,0.122,0.071
1970-1979,0.102,0.094,0.101,0.096,0.087,0.095,0.102,0.085,0.141,0.097
1980-1989,0.106,0.082,0.117,0.078,0.082,0.109,0.116,0.067,0.136,0.106
1990-1999,0.118,0.078,0.14,0.08,0.058,0.12,0.12,0.046,0.105,0.134
2000-2009,0.111,0.078,0.143,0.059,0.054,0.148,0.106,0.042,0.094,0.165
2010-2019,0.108,0.068,0.133,0.05,0.053,0.179,0.113,0.04,0.079,0.177
2020-2029,0.12,0.031,0.105,0.049,0.046,0.217,0.084,0.038,0.065,0.245
Total,0.095,0.1,0.096,0.102,0.106,0.102,0.088,0.113,0.09,0.108
