,0,1,2,3,4,5,6,7,8,9
1920-1929,0.557,0.253,0.002,0.004,0.001,0.035,0.003,0.003,0.127,0.016
1930-1939,0.437,0.381,0.0,0.004,0.001,0.032,0.003,0.003,0.124,0.015
1940-1949,0.413,0.366,0.007,0.011,0.013,0.033,0.009,0.024,0.107,0.019
1950-1959,0.345,0.348,0.01,0.011,0.01,0.061,0.019,0.039,0.136,0.021
1960-1969,0.238,0.215,0.039,0.045,0.052,0.115,0.071,0.072,0.115,0.039
1970-1979,0.111,0.099,0.086,0.094,0.112,0.118,0.151,0.105,0.066,0.059
1980-1989,0.069,0.076,0.122,0.117,0.131,0.124,0.142,0.112,0.036,0.07
1990-1999,0.033,0.039,0.176,0.159,0.139,0.111,0.12,0.12,0.03,0.071
2000-2009,0.025,0.027,0.268,0.172,0.149,0.085,0.085,0.1,0.013,0.076
2010-2019,0.014,0.029,0.326,0.161,0.143,0.066,0.074,0.096,0.011,0.079
2020-2029,0.0,0.0,0.406,0.109,0.172,0.031,0.109,0.062,0.031,0.078
