,0,1,2,3,4,5,6,7,8,9
1920-1929,0.47,0.0,0.001,0.0,0.033,0.001,0.002,0.0,0.263,0.23
1930-1939,0.439,0.001,0.004,0.001,0.035,0.0,0.001,0.0,0.297,0.222
1940-1949,0.487,0.0,0.001,0.0,0.035,0.0,0.002,0.0,0.264,0.21
1950-1959,0.374,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.347,0.223
1960-1969,0.341,0.0,0.001,0.0,0.095,0.0,0.0,0.0,0.351,0.212
1970-1979,0.382,0.0,0.0,0.0,0.092,0.0,0.0,0.0,0.265,0.261
1980-1989,0.362,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.319,0.221
1990-1999,0.37,0.0,0.0,0.007,0.068,0.0,0.0,0.0,0.315,0.24
2000-2009,0.44,0.0,0.0,0.007,0.03,0.0,0.0,0.0,0.306,0.216
2010-2019,0.449,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.265,0.143
2020-2029,,,,,,,,,,
Total,0.411,0.0,0.001,0.002,0.069,0.0,0.001,0.0,0.299,0.218
