,0,1,2,3,4,5,6,7,8,9
1920-1929,349,0,1,0,22,0,0,0,166,150
1930-1939,399,0,5,0,25,0,0,0,204,195
1940-1949,315,1,1,0,26,0,0,0,142,108
1950-1959,261,0,2,2,37,0,0,0,188,140
1960-1969,277,0,1,0,43,1,0,0,194,156
1970-1979,186,1,2,0,39,0,1,0,111,93
1980-1989,101,0,0,0,24,0,0,0,68,48
1990-1999,37,0,1,0,20,0,0,1,46,30
2000-2009,29,0,0,0,5,0,0,0,23,19
2010-2019,16,0,0,0,4,0,0,0,12,12
2020-2029,0,0,0,0,0,0,0,0,0,0
Total,1970,2,13,2,245,1,1,1,1154,951
