,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.13,0.37,0.093,0.0,0.019,0.093,0.13,0.056,0.111,0.0
1960-1969,0.214,0.073,0.106,0.079,0.091,0.063,0.059,0.088,0.171,0.056
1970-1979,0.138,0.092,0.103,0.108,0.111,0.062,0.098,0.094,0.147,0.047
1980-1989,0.099,0.085,0.098,0.126,0.138,0.056,0.131,0.113,0.108,0.047
1990-1999,0.074,0.118,0.104,0.109,0.126,0.104,0.093,0.106,0.084,0.084
2000-2009,0.075,0.1,0.124,0.058,0.096,0.14,0.06,0.112,0.076,0.159
2010-2019,0.071,0.145,0.088,0.07,0.084,0.124,0.072,0.076,0.064,0.207
2020-2029,0.027,0.107,0.045,0.054,0.027,0.143,0.027,0.134,0.08,0.357
Total,0.112,0.098,0.104,0.097,0.112,0.085,0.092,0.101,0.112,0.085
