0,1,2,3,4
ge,ge,år,svenska,svenska
behövs,fråga,tagit,ge,fråga
se,ytterligare,fråga,sprida,sprida
tycker,frågan,ytterligare,samt,bör
bör,lämna,frågan,frågor,nämligen
naturligtvis,utskottet,tycker,ökad,tror
tror,utskottets,utskottet,bör,herr
väldigt,kammaren,vet,nya,sverige
allmänheten,talman,fru,forskning,sätt
människor,herr,talman,sverige,land
sätt,anledning,tror,allmänheten,s
tillgång,riksdagen,herr,arbete,fall
all,vissa,sverige,regeringen,m
behöver,fall,riksdagen,bl,landet
ger,lämnat,fall,a,driva
kunskap,statsrådet,svar,åtgärder,politiska
ges,endast,regeringen,utbildning,politisk
handlar,emellertid,statsrådet,dels,bedriva
möjlighet,lämnats,intressant,verksamhet,folk
möjligheter,lämnade,gång,insatser,hela
