,0,1,2,3,4,5,6,7,8,9
1920-1929,0.488,0.0,0.001,0.0,0.034,0.0,0.001,0.0,0.249,0.227
1930-1939,0.469,0.0,0.003,0.001,0.037,0.0,0.0,0.0,0.264,0.225
1940-1949,0.528,0.0,0.002,0.001,0.036,0.001,0.001,0.001,0.241,0.191
1950-1959,0.439,0.0,0.002,0.001,0.05,0.0,0.0,0.0,0.307,0.202
1960-1969,0.377,0.0,0.001,0.0,0.074,0.001,0.0,0.0,0.318,0.228
1970-1979,0.418,0.0,0.002,0.0,0.077,0.0,0.001,0.0,0.268,0.234
1980-1989,0.393,0.0,0.001,0.001,0.089,0.0,0.0,0.001,0.291,0.224
1990-1999,0.336,0.001,0.004,0.002,0.115,0.0,0.0,0.001,0.301,0.239
2000-2009,0.356,0.0,0.002,0.002,0.089,0.002,0.002,0.002,0.33,0.216
2010-2019,0.39,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.303,0.22
2020-2029,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
Total,0.443,0.0,0.002,0.001,0.056,0.0,0.0,0.0,0.279,0.219
