,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1920-1929,0.121,0.155,0.0,0.034,0.034,0.017,0.069,0.086,0.0,0.086,0.069,0.069,0.034,0.0,0.034,0.155,0.034
1930-1939,0.068,0.205,0.0,0.057,0.17,0.034,0.034,0.057,0.0,0.148,0.125,0.0,0.011,0.011,0.0,0.068,0.011
1940-1949,0.085,0.169,0.0,0.046,0.082,0.022,0.109,0.094,0.0,0.155,0.073,0.036,0.029,0.005,0.024,0.058,0.012
1950-1959,0.065,0.121,0.0,0.063,0.102,0.031,0.088,0.117,0.0,0.168,0.074,0.027,0.02,0.022,0.025,0.068,0.008
1960-1969,0.116,0.038,0.0,0.016,0.039,0.039,0.098,0.167,0.0,0.115,0.103,0.076,0.048,0.036,0.024,0.062,0.023
1970-1979,0.156,0.011,0.0,0.002,0.014,0.049,0.122,0.168,0.0,0.099,0.088,0.081,0.055,0.038,0.038,0.051,0.028
1980-1989,0.195,0.002,0.0,0.001,0.004,0.063,0.132,0.11,0.0,0.085,0.064,0.089,0.063,0.041,0.047,0.061,0.043
1990-1999,0.265,0.002,0.0,0.0,0.003,0.09,0.112,0.052,0.0,0.074,0.066,0.08,0.078,0.022,0.052,0.061,0.044
2000-2009,0.319,0.0,0.0,0.0,0.001,0.142,0.07,0.038,0.0,0.051,0.042,0.07,0.049,0.018,0.078,0.062,0.061
2010-2019,0.292,0.0,0.0,0.0,0.001,0.163,0.071,0.025,0.0,0.043,0.043,0.083,0.039,0.009,0.095,0.073,0.064
2020-2029,0.3,0.0,0.0,0.0,0.0,0.133,0.05,0.033,0.0,0.033,0.017,0.117,0.0,0.0,0.133,0.067,0.117
Total,0.18,0.064,0.0,0.02,0.041,0.071,0.087,0.086,0.0,0.096,0.069,0.066,0.039,0.018,0.05,0.071,0.041
