,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,7,4,0,0,2,5,6,2,0,4,6,3,3,0,3,2,0,4,1
1950-1959,1,0,0,0,4,1,4,7,0,13,4,1,1,1,0,1,0,5,1
1960-1969,36,7,0,3,8,15,40,66,0,23,29,24,14,15,8,17,9,12,21
1970-1979,158,5,0,3,12,61,118,184,0,73,88,83,73,51,44,59,44,46,66
1980-1989,431,6,0,1,12,147,236,217,0,138,102,152,109,71,97,67,113,61,76
1990-1999,826,1,0,3,10,298,348,182,0,206,176,248,223,79,208,144,136,114,141
2000-2009,1090,0,0,1,2,489,204,104,0,197,128,207,155,55,295,157,266,95,140
2010-2019,718,0,0,1,1,412,144,76,0,131,83,184,81,30,186,118,163,53,81
2020-2029,8,0,0,0,0,7,1,0,0,2,0,1,0,0,3,1,0,3,0
Total,3275,23,0,12,51,1435,1101,838,0,787,616,903,659,302,844,566,731,393,527
