,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.113,0.145,0.0,0.032,0.032,0.016,0.065,0.081,0.0,0.081,0.065,0.065,0.032,0.0,0.032,0.145,0.032,0.065,0.0
1930-1939,0.062,0.188,0.0,0.052,0.156,0.031,0.031,0.052,0.0,0.135,0.115,0.0,0.01,0.01,0.0,0.062,0.01,0.073,0.01
1940-1949,0.076,0.152,0.0,0.041,0.074,0.02,0.098,0.085,0.0,0.139,0.065,0.033,0.026,0.004,0.022,0.052,0.011,0.1,0.004
1950-1959,0.057,0.108,0.0,0.056,0.09,0.028,0.078,0.104,0.0,0.15,0.066,0.024,0.017,0.019,0.023,0.061,0.007,0.106,0.005
1960-1969,0.105,0.034,0.0,0.015,0.035,0.035,0.089,0.152,0.0,0.105,0.094,0.069,0.044,0.033,0.021,0.056,0.021,0.061,0.029
1970-1979,0.146,0.01,0.0,0.002,0.013,0.046,0.113,0.157,0.0,0.092,0.082,0.076,0.051,0.035,0.035,0.048,0.026,0.037,0.031
1980-1989,0.185,0.002,0.0,0.001,0.004,0.06,0.125,0.104,0.0,0.08,0.06,0.084,0.06,0.039,0.045,0.057,0.041,0.031,0.023
1990-1999,0.248,0.001,0.0,0.0,0.002,0.084,0.105,0.049,0.0,0.069,0.062,0.074,0.073,0.021,0.048,0.057,0.041,0.029,0.037
2000-2009,0.298,0.0,0.0,0.0,0.001,0.133,0.066,0.035,0.0,0.047,0.039,0.065,0.046,0.017,0.073,0.058,0.057,0.032,0.033
2010-2019,0.278,0.0,0.0,0.0,0.001,0.155,0.067,0.024,0.0,0.041,0.041,0.079,0.037,0.008,0.09,0.07,0.061,0.023,0.025
2020-2029,0.295,0.0,0.0,0.0,0.0,0.131,0.049,0.033,0.0,0.033,0.016,0.115,0.0,0.0,0.131,0.066,0.115,0.016,0.0
Total,0.209,0.012,0.0,0.004,0.011,0.085,0.094,0.084,0.0,0.074,0.061,0.073,0.051,0.025,0.052,0.057,0.041,0.037,0.029
