,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,0.135,0.077,0.0,0.0,0.038,0.096,0.115,0.038,0.0,0.077,0.115,0.058,0.058,0.0,0.058,0.038,0.0,0.077,0.019
1950-1959,0.023,0.0,0.0,0.0,0.091,0.023,0.091,0.159,0.0,0.295,0.091,0.023,0.023,0.023,0.0,0.023,0.0,0.114,0.023
1960-1969,0.104,0.02,0.0,0.009,0.023,0.043,0.115,0.19,0.0,0.066,0.084,0.069,0.04,0.043,0.023,0.049,0.026,0.035,0.061
1970-1979,0.135,0.004,0.0,0.003,0.01,0.052,0.101,0.158,0.0,0.062,0.075,0.071,0.062,0.044,0.038,0.051,0.038,0.039,0.057
1980-1989,0.212,0.003,0.0,0.0,0.006,0.072,0.116,0.107,0.0,0.068,0.05,0.075,0.054,0.035,0.048,0.033,0.056,0.03,0.037
1990-1999,0.247,0.0,0.0,0.001,0.003,0.089,0.104,0.054,0.0,0.062,0.053,0.074,0.067,0.024,0.062,0.043,0.041,0.034,0.042
2000-2009,0.304,0.0,0.0,0.0,0.001,0.136,0.057,0.029,0.0,0.055,0.036,0.058,0.043,0.015,0.082,0.044,0.074,0.026,0.039
2010-2019,0.292,0.0,0.0,0.0,0.0,0.167,0.058,0.031,0.0,0.053,0.034,0.075,0.033,0.012,0.076,0.048,0.066,0.022,0.033
2020-2029,0.308,0.0,0.0,0.0,0.0,0.269,0.038,0.0,0.0,0.077,0.0,0.038,0.0,0.0,0.115,0.038,0.0,0.115,0.0
Total,0.195,0.012,0.0,0.001,0.019,0.105,0.088,0.085,0.0,0.091,0.06,0.06,0.042,0.022,0.056,0.041,0.033,0.055,0.034
