0,1,2,3,4
all,all,endast,allmänheten,bedriva
allmänheten,fall,fråga,behov,bedriver
behöver,felaktig,ge,behovet,bedrives
behövs,fru,herr,behövs,borgerliga
bör,fråga,inhämta,både,bör
ge,frågan,inhämtat,bör,driva
ger,ge,kammaren,forskning,form
ges,ger,kompletterande,fråga,forts
handlar,herr,lämna,frågor,fråga
korrekt,intressant,lämnade,ge,herr
kunskap,lämnats,lämnas,insatser,m
lämna,regeringen,lämnat,kunskap,politisk
lämnas,riksdagen,lämnats,nya,politiska
människor,statsrådet,närmare,rådgivning,socialdemokratiska
möjlighet,talman,rörande,samt,sprida
möjligheter,tror,statsrådet,sprida,svenska
se,tycker,talman,stöd,sverige
sprida,utskottet,utskottet,utbildning,sätt
sätt,vet,vissa,åtgärder,tror
tillgång,ytterligare,ytterligare,ökad,viss
