lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mass,20,10,13,388,367,330,57,323,310,119,291,13,13,266,46,238,256,263,193,225,230,14,166,177,225,102,49,141,113,24,91,96,113,17,54,117,18,33,30,50,24,87,65,26,65,47,20,41,13,27
medi,799,754,505,16,6,29,300,31,41,199,13,287,281,23,241,40,21,13,73,31,22,225,72,55,7,128,171,78,104,178,98,91,53,146,107,36,131,113,85,64,88,18,27,57,16,25,43,14,36,22
