lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
mass,0.003,0.002,0.002,0.064,0.061,0.055,0.009,0.054,0.052,0.02,0.048,0.002,0.002,0.044,0.008,0.04,0.043,0.044,0.032,0.037,0.038,0.002,0.028,0.029,0.037,0.017,0.008,0.023,0.019,0.004,0.015,0.016,0.019,0.003,0.009,0.019,0.003,0.005,0.005,0.008,0.004,0.014,0.011,0.004,0.011,0.008,0.003,0.007,0.002,0.004
medi,0.133,0.125,0.084,0.003,0.001,0.005,0.05,0.005,0.007,0.033,0.002,0.048,0.047,0.004,0.04,0.007,0.003,0.002,0.012,0.005,0.004,0.037,0.012,0.009,0.001,0.021,0.028,0.013,0.017,0.03,0.016,0.015,0.009,0.024,0.018,0.006,0.022,0.019,0.014,0.011,0.015,0.003,0.004,0.009,0.003,0.004,0.007,0.002,0.006,0.004
