,0,1,2,3,4
1920-1929,2,7,0,14,8
1930-1939,4,13,13,34,0
1940-1949,0,0,0,0,0
1950-1959,10,70,2,15,9
1960-1969,551,3936,1377,1546,1449
1970-1979,1208,4725,3537,2586,3196
1980-1989,1628,3542,3754,3178,3759
1990-1999,2651,2842,2739,4217,2850
2000-2009,2880,1164,1327,3775,1852
2010-2019,3703,1040,1495,3144,2036
2020-2029,127,12,8,60,22
Total,12764,17351,14252,18569,15181
