,0,1,2,3,4,5,6,7,8,9
1920-1929,0.057,0.131,0.055,0.167,0.139,0.041,0.062,0.255,0.05,0.043
1930-1939,0.059,0.137,0.051,0.167,0.182,0.04,0.055,0.208,0.054,0.047
1940-1949,0.075,0.133,0.059,0.131,0.16,0.044,0.068,0.215,0.061,0.054
1950-1959,0.092,0.145,0.07,0.141,0.16,0.05,0.069,0.142,0.078,0.052
1960-1969,0.089,0.116,0.088,0.114,0.127,0.078,0.079,0.12,0.123,0.065
1970-1979,0.099,0.097,0.101,0.1,0.082,0.095,0.103,0.086,0.141,0.095
1980-1989,0.106,0.086,0.118,0.077,0.086,0.104,0.108,0.068,0.134,0.113
1990-1999,0.109,0.079,0.138,0.075,0.055,0.129,0.112,0.048,0.111,0.143
2000-2009,0.11,0.073,0.144,0.06,0.052,0.151,0.107,0.039,0.098,0.168
2010-2019,0.107,0.059,0.133,0.044,0.051,0.182,0.115,0.042,0.086,0.18
2020-2029,0.102,0.029,0.115,0.029,0.059,0.295,0.111,0.029,0.084,0.148
Total,0.091,0.099,0.097,0.1,0.105,0.11,0.09,0.114,0.093,0.101
