,0,1,2,3,4,5,6,7,8,9
1920-1929,142,124,557,677,450,189,193,199,134,373
1930-1939,379,262,903,1419,913,317,409,432,253,695
1940-1949,650,383,1768,1749,1412,495,554,628,410,1205
1950-1959,842,474,1599,1489,1442,648,722,826,481,1362
1960-1969,2514,1282,2499,2355,2418,1550,1586,1830,1446,2273
1970-1979,4197,2590,2400,2522,2584,2710,2774,3008,2501,2614
1980-1989,4211,3247,2319,1761,2318,3323,3516,3181,3022,2483
1990-1999,1913,2711,1119,887,1410,2594,2268,2257,2361,1348
2000-2009,1643,2809,800,727,958,2534,1621,1888,2172,1307
2010-2019,769,1763,537,493,541,1349,1279,1433,1958,720
2020-2029,18,61,3,8,1,8,22,24,46,6
Total,17278,15706,14504,14087,14447,15717,14944,15706,14784,14386
