lemmas,0,1,2,3,4,5,6,7,8,9
info,0.039,0.203,0.0,0.175,0.134,0.145,0.143,0.141,0.0,0.018
prop,0.0,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uppl,0.443,0.0,0.002,0.001,0.056,0.0,0.0,0.0,0.279,0.219
