,0,1,2,3,4,5,6,7,8,9
1920-1929,0.398,0.002,0.175,0.003,0.029,0.002,0.003,0.004,0.2,0.183
1930-1939,0.33,0.002,0.297,0.002,0.027,0.002,0.004,0.007,0.178,0.152
1940-1949,0.345,0.015,0.305,0.011,0.029,0.01,0.013,0.025,0.137,0.11
1950-1959,0.305,0.017,0.279,0.01,0.038,0.011,0.012,0.034,0.178,0.118
1960-1969,0.222,0.069,0.162,0.06,0.08,0.048,0.055,0.057,0.138,0.11
1970-1979,0.126,0.143,0.08,0.117,0.113,0.103,0.101,0.098,0.056,0.065
1980-1989,0.072,0.171,0.059,0.138,0.119,0.12,0.119,0.118,0.039,0.045
1990-1999,0.035,0.183,0.032,0.162,0.138,0.135,0.128,0.128,0.024,0.034
2000-2009,0.023,0.203,0.018,0.174,0.132,0.145,0.135,0.126,0.018,0.027
2010-2019,0.013,0.197,0.032,0.187,0.134,0.143,0.145,0.12,0.009,0.019
2020-2029,0.016,0.22,0.024,0.197,0.134,0.118,0.11,0.142,0.016,0.024
