,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
1960-1969,0.0,0.0,0.137,0.157,0.265,0.098,0.157,0.069,0.01,0.108
1970-1979,0.0,0.013,0.201,0.17,0.152,0.138,0.201,0.022,0.036,0.067
1980-1989,0.031,0.025,0.239,0.132,0.088,0.173,0.157,0.038,0.038,0.079
1990-1999,0.166,0.138,0.083,0.077,0.116,0.088,0.055,0.105,0.066,0.105
2000-2009,0.222,0.31,0.008,0.04,0.048,0.056,0.008,0.127,0.119,0.063
2010-2019,0.349,0.336,0.007,0.0,0.02,0.046,0.013,0.138,0.059,0.033
2020-2029,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0,0.0
Total,0.109,0.114,0.137,0.104,0.108,0.116,0.112,0.074,0.052,0.075
