,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333
1960-1969,0.006,0.006,0.096,0.006,0.139,0.066,0.096,0.048,0.036,0.127,0.03,0.036,0.048,0.036,0.078,0.03,0.036,0.03,0.048,0.0
1970-1979,0.003,0.006,0.124,0.029,0.137,0.083,0.089,0.051,0.073,0.089,0.013,0.045,0.035,0.057,0.041,0.01,0.013,0.057,0.032,0.013
1980-1989,0.016,0.009,0.143,0.034,0.069,0.115,0.072,0.075,0.087,0.05,0.009,0.062,0.053,0.034,0.028,0.022,0.022,0.044,0.037,0.019
1990-1999,0.083,0.078,0.092,0.101,0.078,0.069,0.046,0.046,0.041,0.023,0.032,0.037,0.051,0.028,0.028,0.023,0.046,0.037,0.028,0.032
2000-2009,0.181,0.211,0.01,0.162,0.005,0.0,0.0,0.049,0.0,0.025,0.108,0.01,0.034,0.02,0.039,0.039,0.074,0.01,0.015,0.01
2010-2019,0.222,0.204,0.0,0.176,0.0,0.009,0.009,0.009,0.0,0.046,0.056,0.009,0.046,0.028,0.009,0.065,0.037,0.019,0.009,0.046
2020-2029,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0
