0,1,2,3,4,5,6,7,8,9
ser,år,svenska,ge,svenska,svenska,svenska,ge,ge,år
ge,fråga,både,fråga,ge,år,sveriges,fråga,lämna,arbete
fråga,emellertid,ge,regeringen,fråga,regeringens,borgerliga,tror,bör,bör
regeringen,frågan,arbete,frågan,tror,tagit,sverige,frågan,stöd,stöd
tror,lämna,regeringen,utskottet,anser,fråga,socialdemokratiska,tycker,möjlighet,samt
behövs,utskottet,sätt,anser,bör,regeringen,håll,lämna,uppgifter,ökad
frågan,utskottets,människor,bör,väg,ytterligare,land,kammaren,barn,forskning
se,beträffande,nya,frågor,sätt,frågan,vissa,fru,personer,åtgärder
tycker,anledning,sverige,nya,borde,utskottet,m,talman,innebär,kronor
sätt,riksdagen,tillgång,förslag,betydelse,hela,å,nämligen,skolan,utbildning
människor,vissa,behöver,åtgärder,vilja,vet,länder,herr,ger,dels
vet,kronor,företag,allmänheten,allmänheten,sverige,verksamhet,vilja,eleverna,organisationer
naturligtvis,uppgifter,ger,riksdagen,ganska,gång,svensk,anledning,enskilde,verksamhet
väldigt,fall,länder,bl,område,senaste,landet,tacka,ges,insatser
faktiskt,rörande,myndigheter,a,fall,tid,sidan,svaret,föräldrar,medel
behöver,grund,möjligheter,berörda,resultat,riksdagen,politiska,svar,föräldrarna,miljoner
ger,endast,kunskap,dels,vore,fall,folket,statsrådet,brott,förebyggande
svårt,lämnats,exempel,möjligheter,folk,tiden,såsom,anförande,skriftlig,anslag
ändå,kungl,handlar,statliga,huvud,året,politisk,frågat,elever,anslaget
handlar,äro,konsumenterna,ges,taget,statsministern,politik,ber,polisen,ungdomar
