lemmas,0,1,2,3,4,5,6,7,8,9
info,0.315,0.019,0.179,0.174,0.003,0.146,0.004,0.011,0.091,0.059
prop,0.0,0.0,0.0,0.0,0.3,0.0,0.692,0.0,0.0,0.008
uppl,0.0,0.491,0.0,0.0,0.228,0.0,0.008,0.202,0.006,0.064
