,0,1,2,3,4,5,6,7,8,9
1920-1929,0.005,0.522,0.001,0.003,0.231,0.005,0.119,0.098,0.001,0.014
1930-1939,0.003,0.418,0.002,0.003,0.24,0.005,0.207,0.107,0.001,0.013
1940-1949,0.023,0.374,0.008,0.022,0.221,0.021,0.212,0.099,0.005,0.016
1950-1959,0.019,0.309,0.008,0.027,0.271,0.028,0.174,0.12,0.005,0.039
1960-1969,0.087,0.189,0.034,0.121,0.183,0.058,0.113,0.116,0.023,0.076
1970-1979,0.191,0.09,0.067,0.21,0.066,0.099,0.065,0.073,0.052,0.088
1980-1989,0.244,0.051,0.101,0.186,0.032,0.128,0.053,0.048,0.068,0.09
1990-1999,0.315,0.023,0.151,0.136,0.02,0.138,0.03,0.03,0.091,0.066
2000-2009,0.349,0.017,0.229,0.08,0.013,0.122,0.017,0.019,0.109,0.048
2010-2019,0.313,0.012,0.291,0.075,0.009,0.131,0.03,0.008,0.105,0.026
2020-2029,0.268,0.008,0.339,0.055,0.016,0.118,0.024,0.024,0.142,0.008
