,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0.0,0.279,0.2,0.001,0.0,0.108,0.002,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.092,0.0,0.0,0.0,0.063,0.001,0.0,0.001,0.004,0.0,0.0,0.049,0.0,0.047,0.034,0.0,0.013,0.0,0.005,0.001,0.0,0.001,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.002
1930-1939,0.0,0.256,0.19,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.096,0.0,0.0,0.0,0.074,0.0,0.002,0.001,0.004,0.0,0.0,0.041,0.0,0.048,0.041,0.002,0.007,0.0,0.01,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.007,0.002,0.0,0.004
1940-1949,0.001,0.302,0.211,0.001,0.0,0.097,0.0,0.0,0.0,0.0,0.082,0.0,0.003,0.0,0.001,0.001,0.001,0.0,0.07,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.004,0.0,0.0,0.041,0.0,0.052,0.035,0.0,0.01,0.0,0.007,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.006,0.004,0.0,0.001
1950-1959,0.0,0.239,0.171,0.0,0.0,0.121,0.001,0.0,0.001,0.0,0.114,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.062,0.003,0.0,0.0,0.066,0.0,0.001,0.0,0.005,0.0,0.001,0.057,0.0,0.057,0.059,0.0,0.014,0.002,0.008,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.006,0.0,0.0,0.004
1960-1969,0.0,0.219,0.162,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.104,0.0,0.002,0.0,0.0,0.0,0.001,0.0,0.073,0.0,0.0,0.0,0.077,0.0,0.001,0.001,0.009,0.0,0.0,0.059,0.0,0.054,0.053,0.001,0.013,0.002,0.008,0.001,0.0,0.002,0.002,0.0,0.0,0.0,0.005,0.001,0.0,0.005
1970-1979,0.0,0.226,0.184,0.0,0.0,0.135,0.001,0.0,0.001,0.0,0.102,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.079,0.001,0.001,0.0,0.076,0.0,0.001,0.0,0.006,0.0,0.0,0.045,0.0,0.042,0.059,0.001,0.013,0.001,0.002,0.0,0.001,0.004,0.001,0.0,0.002,0.001,0.006,0.001,0.001,0.001
1980-1989,0.001,0.238,0.164,0.0,0.0,0.138,0.001,0.0,0.0,0.0,0.101,0.0,0.003,0.001,0.001,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.073,0.0,0.0,0.0,0.003,0.0,0.0,0.062,0.0,0.047,0.059,0.0,0.006,0.0,0.01,0.0,0.0,0.003,0.0,0.0,0.0,0.001,0.008,0.001,0.0,0.001
1990-1999,0.0,0.163,0.149,0.0,0.0,0.195,0.0,0.0,0.002,0.0,0.094,0.005,0.0,0.0,0.002,0.0,0.0,0.0,0.055,0.0,0.0,0.002,0.101,0.0,0.0,0.0,0.012,0.0,0.0,0.075,0.0,0.05,0.053,0.0,0.014,0.002,0.01,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.002,0.002,0.002,0.002
2000-2009,0.0,0.191,0.146,0.0,0.0,0.172,0.0,0.0,0.004,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.0,0.097,0.0,0.007,0.004,0.004,0.0,0.0,0.064,0.0,0.064,0.041,0.0,0.015,0.004,0.004,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0
2010-2019,0.0,0.228,0.142,0.0,0.0,0.134,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.016,0.0,0.0,0.071,0.0,0.0,0.0,0.016,0.0,0.0,0.071,0.0,0.039,0.031,0.0,0.008,0.0,0.024,0.0,0.0,0.016,0.008,0.0,0.0,0.008,0.008,0.0,0.016,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.213,0.156,0.0,0.0,0.123,0.001,0.0,0.001,0.0,0.093,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.093,0.002,0.0,0.0,0.069,0.0,0.001,0.001,0.006,0.0,0.0,0.051,0.0,0.076,0.042,0.0,0.01,0.001,0.008,0.0,0.0,0.003,0.001,0.03,0.001,0.001,0.005,0.001,0.002,0.002
