,0,1,2,3,4,5,6,7,8,9
1920-1929,10,1,4,11,2,3,7,8,1,15
1930-1939,40,0,1,13,4,3,7,11,1,16
1940-1949,140,2,26,40,47,13,30,90,19,54
1950-1959,139,1,39,40,39,24,69,145,26,53
1960-1969,228,1,231,262,306,280,414,421,45,192
1970-1979,115,1,594,653,781,579,1045,726,38,386
1980-1989,38,0,642,615,688,513,749,589,12,353
1990-1999,16,2,854,768,675,450,580,582,9,334
2000-2009,12,0,1329,855,737,366,419,495,3,376
2010-2019,1,0,1314,649,575,246,296,386,4,317
2020-2029,0,0,26,7,11,1,7,4,0,5
Total,739,8,5060,3913,3865,2478,3623,3457,158,2101
