,0,1,2,3,4,5,6,7,8,9
1920-1929,0.161,0.016,0.065,0.177,0.032,0.048,0.113,0.129,0.016,0.242
1930-1939,0.417,0.0,0.01,0.135,0.042,0.031,0.073,0.115,0.01,0.167
1940-1949,0.304,0.004,0.056,0.087,0.102,0.028,0.065,0.195,0.041,0.117
1950-1959,0.242,0.002,0.068,0.07,0.068,0.042,0.12,0.252,0.045,0.092
1960-1969,0.096,0.0,0.097,0.11,0.129,0.118,0.174,0.177,0.019,0.081
1970-1979,0.023,0.0,0.121,0.133,0.159,0.118,0.212,0.148,0.008,0.078
1980-1989,0.009,0.0,0.153,0.146,0.164,0.122,0.178,0.14,0.003,0.084
1990-1999,0.004,0.0,0.2,0.18,0.158,0.105,0.136,0.136,0.002,0.078
2000-2009,0.003,0.0,0.289,0.186,0.16,0.08,0.091,0.108,0.001,0.082
2010-2019,0.0,0.0,0.347,0.171,0.152,0.065,0.078,0.102,0.001,0.084
2020-2029,0.0,0.0,0.426,0.115,0.18,0.016,0.115,0.066,0.0,0.082
Total,0.029,0.0,0.199,0.154,0.152,0.098,0.143,0.136,0.006,0.083
