,0,1,2,3,4,5,6,7,8,9
1920-1929,0.175,0.0,0.0,0.125,0.0,0.175,0.0,0.25,0.0,0.275
1930-1939,0.238,0.0,0.0,0.238,0.0,0.071,0.0,0.19,0.0,0.262
1940-1949,0.25,0.05,0.033,0.15,0.05,0.125,0.1,0.075,0.1,0.067
1950-1959,0.284,0.0,0.032,0.237,0.016,0.101,0.013,0.145,0.006,0.167
1960-1969,0.152,0.069,0.064,0.099,0.06,0.166,0.076,0.145,0.062,0.107
1970-1979,0.082,0.127,0.146,0.055,0.116,0.167,0.111,0.06,0.097,0.039
1980-1989,0.05,0.166,0.147,0.055,0.143,0.136,0.133,0.039,0.102,0.028
1990-1999,0.03,0.192,0.174,0.026,0.166,0.126,0.138,0.02,0.109,0.018
2000-2009,0.021,0.236,0.201,0.012,0.159,0.11,0.127,0.016,0.106,0.013
2010-2019,0.012,0.233,0.221,0.029,0.154,0.099,0.13,0.008,0.107,0.007
2020-2029,0.036,0.214,0.5,0.036,0.071,0.036,0.036,0.0,0.071,0.0
