,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1960-1969,1,1,0,1,4,0,0,1,0,1,4,3,2,0,11,5,4,0,1,0
1970-1979,1,0,0,9,6,0,1,0,0,2,1,2,2,0,7,1,0,1,1,2
1980-1989,5,3,0,11,8,1,1,1,1,3,2,8,3,0,8,6,2,3,1,5
1990-1999,18,17,1,21,8,4,1,2,1,4,6,3,8,1,6,5,6,2,1,6
2000-2009,37,42,0,33,0,0,0,7,0,2,18,1,5,3,8,8,14,1,3,2
2010-2019,24,22,0,19,0,1,0,1,0,5,6,1,4,3,1,7,4,2,1,5
2020-2029,1,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Total,87,89,1,94,26,6,3,12,2,18,37,18,24,9,41,32,30,9,8,20
