,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.012,0.243,0.021,0.135,0.014,0.011,0.008,0.043,0.02,0.024,0.155,0.147,0.015,0.011,0.005,0.038,0.043,0.041,0.003,0.012
1930-1939,0.013,0.197,0.024,0.127,0.014,0.011,0.007,0.045,0.02,0.027,0.174,0.15,0.027,0.013,0.008,0.032,0.043,0.049,0.005,0.014
1940-1949,0.024,0.195,0.036,0.142,0.014,0.013,0.01,0.059,0.029,0.023,0.113,0.118,0.041,0.017,0.003,0.034,0.047,0.061,0.007,0.016
1950-1959,0.029,0.103,0.038,0.155,0.025,0.012,0.01,0.072,0.044,0.028,0.071,0.116,0.075,0.022,0.003,0.042,0.055,0.075,0.006,0.017
1960-1969,0.029,0.074,0.056,0.129,0.057,0.012,0.019,0.071,0.075,0.025,0.041,0.08,0.053,0.03,0.014,0.039,0.072,0.079,0.011,0.034
1970-1979,0.031,0.044,0.077,0.098,0.053,0.02,0.027,0.079,0.091,0.025,0.018,0.055,0.039,0.048,0.019,0.044,0.091,0.076,0.018,0.046
1980-1989,0.031,0.031,0.092,0.084,0.052,0.034,0.037,0.077,0.073,0.022,0.014,0.026,0.048,0.053,0.02,0.041,0.126,0.064,0.024,0.051
1990-1999,0.032,0.019,0.076,0.07,0.034,0.053,0.073,0.073,0.041,0.017,0.009,0.016,0.021,0.06,0.037,0.05,0.179,0.065,0.028,0.049
2000-2009,0.029,0.015,0.058,0.058,0.028,0.052,0.093,0.064,0.031,0.013,0.007,0.012,0.019,0.041,0.027,0.057,0.237,0.055,0.051,0.054
2010-2019,0.032,0.015,0.06,0.041,0.012,0.07,0.145,0.066,0.027,0.012,0.01,0.014,0.016,0.027,0.022,0.052,0.228,0.046,0.048,0.057
2020-2029,0.091,0.012,0.048,0.024,0.002,0.114,0.139,0.039,0.019,0.013,0.002,0.003,0.01,0.019,0.011,0.032,0.26,0.039,0.069,0.055
Total,0.032,0.086,0.053,0.097,0.028,0.037,0.052,0.062,0.043,0.021,0.056,0.067,0.033,0.031,0.015,0.042,0.125,0.059,0.024,0.037
