,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.021,0.027,0.022,0.005,0.039,0.024,0.037,0.022,0.115,0.008,0.018,0.005,0.038,0.015,0.011,0.275,0.138,0.013,0.154,0.012
1930-1939,0.017,0.03,0.029,0.006,0.051,0.029,0.05,0.026,0.175,0.012,0.033,0.006,0.039,0.014,0.012,0.201,0.129,0.006,0.129,0.008
1940-1949,0.017,0.029,0.041,0.008,0.044,0.017,0.067,0.033,0.12,0.009,0.046,0.005,0.051,0.026,0.018,0.187,0.141,0.022,0.104,0.015
1950-1959,0.034,0.039,0.041,0.006,0.056,0.029,0.069,0.039,0.07,0.011,0.058,0.006,0.063,0.026,0.018,0.126,0.162,0.022,0.113,0.013
1960-1969,0.057,0.042,0.093,0.01,0.061,0.025,0.075,0.049,0.036,0.015,0.047,0.013,0.076,0.038,0.036,0.078,0.117,0.032,0.082,0.019
1970-1979,0.064,0.046,0.099,0.014,0.091,0.021,0.067,0.071,0.022,0.027,0.036,0.02,0.085,0.021,0.046,0.049,0.098,0.048,0.047,0.028
1980-1989,0.052,0.047,0.068,0.03,0.117,0.021,0.076,0.09,0.013,0.042,0.028,0.019,0.074,0.034,0.062,0.03,0.076,0.052,0.025,0.044
1990-1999,0.057,0.053,0.039,0.023,0.169,0.015,0.078,0.068,0.008,0.067,0.024,0.03,0.06,0.034,0.061,0.017,0.074,0.061,0.022,0.039
2000-2009,0.03,0.055,0.024,0.034,0.221,0.011,0.071,0.046,0.009,0.112,0.021,0.033,0.056,0.037,0.064,0.012,0.051,0.047,0.015,0.051
2010-2019,0.014,0.057,0.02,0.025,0.224,0.011,0.056,0.068,0.007,0.111,0.012,0.027,0.048,0.044,0.072,0.015,0.051,0.033,0.011,0.092
2020-2029,0.006,0.0,0.022,0.006,0.209,0.0,0.067,0.045,0.0,0.123,0.006,0.008,0.014,0.011,0.148,0.008,0.02,0.151,0.028,0.128
Total,0.033,0.039,0.045,0.015,0.117,0.018,0.065,0.051,0.052,0.049,0.03,0.016,0.055,0.027,0.05,0.091,0.096,0.044,0.066,0.041
