,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.014,0.037,0.014,0.007,0.043,0.029,0.044,0.023,0.154,0.007,0.034,0.005,0.038,0.012,0.012,0.222,0.136,0.014,0.148,0.007
1930-1939,0.013,0.04,0.021,0.006,0.052,0.032,0.051,0.029,0.129,0.009,0.029,0.003,0.035,0.014,0.015,0.231,0.127,0.015,0.137,0.012
1940-1949,0.022,0.03,0.037,0.006,0.043,0.032,0.059,0.03,0.147,0.011,0.05,0.008,0.043,0.015,0.017,0.162,0.136,0.017,0.125,0.009
1950-1959,0.044,0.029,0.048,0.007,0.051,0.035,0.069,0.038,0.073,0.01,0.067,0.005,0.071,0.021,0.022,0.124,0.147,0.021,0.11,0.006
1960-1969,0.059,0.041,0.09,0.01,0.063,0.025,0.075,0.047,0.035,0.021,0.054,0.012,0.076,0.027,0.035,0.083,0.112,0.038,0.083,0.013
1970-1979,0.055,0.041,0.108,0.014,0.085,0.025,0.072,0.073,0.016,0.029,0.045,0.021,0.075,0.023,0.047,0.043,0.101,0.051,0.048,0.028
1980-1989,0.047,0.051,0.082,0.029,0.118,0.025,0.075,0.083,0.013,0.043,0.038,0.018,0.072,0.029,0.053,0.029,0.079,0.06,0.024,0.033
1990-1999,0.031,0.046,0.051,0.027,0.163,0.017,0.084,0.09,0.01,0.065,0.018,0.024,0.058,0.037,0.049,0.017,0.084,0.067,0.018,0.045
2000-2009,0.025,0.062,0.027,0.054,0.238,0.011,0.062,0.053,0.007,0.089,0.013,0.024,0.052,0.029,0.054,0.018,0.06,0.05,0.014,0.06
2010-2019,0.019,0.088,0.027,0.034,0.224,0.007,0.074,0.053,0.006,0.112,0.016,0.021,0.045,0.033,0.064,0.016,0.049,0.031,0.009,0.071
2020-2029,0.013,0.021,0.005,0.108,0.235,0.01,0.082,0.129,0.0,0.059,0.031,0.003,0.031,0.08,0.054,0.0,0.031,0.026,0.008,0.075
Total,0.031,0.044,0.046,0.027,0.12,0.023,0.068,0.059,0.054,0.041,0.036,0.013,0.054,0.029,0.038,0.086,0.096,0.035,0.066,0.033
