,0,1,2,3,4,5,6,7,8,9
1920-1929,0,0,0,2,0,0,0,6,0,1
1930-1939,0,0,0,2,0,1,0,6,1,0
1940-1949,0,0,0,1,0,0,0,0,0,0
1950-1959,1,2,1,1,0,0,0,4,0,0
1960-1969,15,5,106,363,124,11,92,154,65,85
1970-1979,40,14,324,371,367,32,252,179,160,194
1980-1989,112,76,408,336,512,71,363,237,279,304
1990-1999,319,243,233,180,204,239,137,205,179,152
2000-2009,514,484,170,37,36,345,47,75,59,22
2010-2019,841,810,135,18,17,366,55,46,90,24
2020-2029,27,22,2,2,0,8,0,1,3,2
Total,1869,1656,1379,1313,1260,1073,946,913,836,784
