0,1,2,3,4
rönt,refererats,datamaskiner,nätet,funktioner
angeläget,rapporterats,m,bloggar,tillgängligheten
dagordningen,beskrivits,kampanj,twitter,universitet
föremål,förekommit,t,fostran,självständiga
uppmärksamheten,dagarna,möter,facebook,utgiftsområde
medium,veckorna,sysslar,sociala,lättläst
medial,framkommit,ex,beteenden,tillgänglighet
tryck,frågat,pressen,sex,förutsättningar
massmedial,senaste,radio,internet,myndigheten
viktigare,tillfällen,utredningar,typer,oberoende
bevakning,sommaren,television,ang,trossamfund
boken,månaderna,lämnar,tryckta,tillgängliga
synpunkt,huruvida,mm,interpellation,public
väckt,hörde,video,människors,stödja
nytt,diskuterats,föras,ordet,domstolar
tycks,förhållanden,skydda,barns,rättigheter
massmedium,sistone,press,unga,service
ägnar,arbetsmarknadsministern,risker,elektroniska,kulturliv
uppmärksamhet,bakgrund,film,it,demokratiska
genomslagskraft,framgått,sveriges,direkta,civila
