,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,0.0,0.0
1960-1969,0.0,0.017,0.124,0.207,0.108,0.062,0.058,0.124,0.203,0.095
1970-1979,0.012,0.005,0.188,0.207,0.12,0.108,0.058,0.149,0.12,0.034
1980-1989,0.051,0.023,0.196,0.145,0.085,0.122,0.085,0.127,0.099,0.067
1990-1999,0.12,0.136,0.077,0.084,0.081,0.089,0.132,0.079,0.11,0.093
2000-2009,0.249,0.202,0.01,0.03,0.205,0.074,0.118,0.003,0.02,0.088
2010-2019,0.359,0.262,0.003,0.006,0.065,0.133,0.11,0.003,0.003,0.055
2020-2029,0.333,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
