,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.484,0.064,0.258,0.134,0.0,0.0,0.004,0.0,0.005,0.024,0.0,0.001,0.019,0.0,0.005
1930-1939,0.0,0.441,0.081,0.274,0.137,0.0,0.0,0.006,0.0,0.003,0.021,0.0,0.005,0.024,0.002,0.006
1940-1949,0.0,0.455,0.048,0.254,0.166,0.0,0.0,0.006,0.0,0.005,0.03,0.0,0.004,0.029,0.001,0.002
1950-1959,0.0,0.344,0.046,0.258,0.217,0.0,0.0,0.01,0.0,0.008,0.039,0.0,0.008,0.064,0.001,0.003
1960-1969,0.0,0.293,0.037,0.251,0.212,0.0,0.0,0.023,0.0,0.006,0.044,0.001,0.01,0.119,0.001,0.002
1970-1979,0.0,0.274,0.028,0.252,0.206,0.0,0.0,0.024,0.0,0.007,0.058,0.001,0.032,0.104,0.005,0.008
1980-1989,0.0,0.278,0.023,0.183,0.2,0.0,0.0,0.029,0.0,0.01,0.07,0.0,0.039,0.141,0.019,0.009
1990-1999,0.0,0.236,0.027,0.159,0.254,0.002,0.0,0.005,0.0,0.017,0.062,0.002,0.042,0.157,0.022,0.012
2000-2009,0.0,0.264,0.054,0.136,0.174,0.0,0.0,0.008,0.0,0.016,0.097,0.012,0.066,0.147,0.023,0.004
2010-2019,0.0,0.303,0.067,0.16,0.16,0.0,0.0,0.008,0.0,0.025,0.076,0.0,0.05,0.101,0.034,0.017
2020-2029,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0
Total,0.0,0.307,0.043,0.199,0.199,0.0,0.0,0.011,0.0,0.009,0.047,0.002,0.084,0.082,0.01,0.006
