,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1920-1929,0.0,0.229,0.229,0.229,0.171,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.114,0.0,0.0
1930-1939,0.0,0.312,0.031,0.438,0.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,0.0,0.469,0.061,0.163,0.163,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.082,0.0,0.0
1950-1959,0.0,0.368,0.067,0.14,0.228,0.0,0.0,0.021,0.0,0.005,0.052,0.0,0.01,0.098,0.0,0.01
1960-1969,0.0,0.221,0.04,0.206,0.226,0.0,0.0,0.02,0.0,0.009,0.06,0.0,0.026,0.183,0.006,0.003
1970-1979,0.0,0.197,0.027,0.212,0.22,0.0,0.0,0.023,0.004,0.019,0.057,0.0,0.042,0.189,0.008,0.004
1980-1989,0.0,0.244,0.022,0.172,0.211,0.0,0.004,0.018,0.0,0.025,0.068,0.004,0.036,0.158,0.036,0.004
1990-1999,0.0,0.187,0.023,0.198,0.206,0.0,0.0,0.015,0.0,0.015,0.073,0.004,0.046,0.187,0.046,0.0
2000-2009,0.0,0.255,0.019,0.157,0.204,0.0,0.0,0.014,0.0,0.005,0.079,0.0,0.037,0.171,0.046,0.014
2010-2019,0.0,0.273,0.039,0.156,0.156,0.0,0.0,0.013,0.0,0.013,0.104,0.013,0.026,0.13,0.078,0.0
2020-2029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.341,0.051,0.188,0.182,0.0,0.0,0.013,0.0,0.01,0.049,0.002,0.02,0.119,0.02,0.003
