lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
info,5,3,67,3238,2947,3,2679,2518,7,2385,19,2060,2041,2065,2042,2029,1982,1967,42,1752,1725,1717,6,1595,1416,1413,1224,1284,1239,39,1232,19,84,1028,659,813,588,740,657,589,511,478,410,323,50,83,90,39,64,17
prop,6767,0,1,0,1,1,2,4,2500,4,8,2,0,2,0,4,5,3,7,0,6,2,3,1,2,5,0,1,2,3,0,1,9,7,11,10,14,11,6,16,3,2,28,8,9,8,7,1,2,6
uppl,12,5721,4213,9,0,2845,22,4,18,6,2256,9,30,3,16,4,17,16,1822,14,2,8,1653,5,18,11,116,0,4,1202,1,1193,1063,14,249,24,174,9,11,48,12,11,18,8,125,31,13,65,21,20
