lemmas,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
info,0.0,0.0,0.001,0.065,0.059,0.0,0.054,0.05,0.0,0.048,0.0,0.041,0.041,0.041,0.041,0.041,0.04,0.039,0.001,0.035,0.035,0.034,0.0,0.032,0.028,0.028,0.024,0.026,0.025,0.001,0.025,0.0,0.002,0.021,0.013,0.016,0.012,0.015,0.013,0.012,0.01,0.01,0.008,0.006,0.001,0.002,0.002,0.001,0.001,0.0
prop,0.713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.0,0.0,0.003,0.001,0.001,0.001,0.001,0.0,0.0,0.001
uppl,0.001,0.247,0.182,0.0,0.0,0.123,0.001,0.0,0.001,0.0,0.097,0.0,0.001,0.0,0.001,0.0,0.001,0.001,0.079,0.001,0.0,0.0,0.071,0.0,0.001,0.0,0.005,0.0,0.0,0.052,0.0,0.051,0.046,0.001,0.011,0.001,0.008,0.0,0.0,0.002,0.001,0.0,0.001,0.0,0.005,0.001,0.001,0.003,0.001,0.001
