,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0
1960-1969,0.0,0.003,0.165,0.267,0.19,0.098,0.149,0.009,0.04,0.08
1970-1979,0.001,0.002,0.217,0.174,0.162,0.159,0.189,0.013,0.013,0.071
1980-1989,0.001,0.001,0.263,0.143,0.113,0.177,0.186,0.017,0.016,0.085
1990-1999,0.003,0.006,0.213,0.152,0.105,0.167,0.141,0.053,0.04,0.12
2000-2009,0.0,0.037,0.111,0.171,0.083,0.069,0.028,0.25,0.106,0.144
2010-2019,0.0,0.105,0.088,0.211,0.035,0.07,0.0,0.211,0.123,0.158
2020-2029,,,,,,,,,,
Total,0.001,0.004,0.221,0.171,0.134,0.155,0.167,0.031,0.026,0.088
