,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.088,0.029,0.176,0.015,0.044,0.029,0.044,0.118,0.029,0.029,0.029,0.0,0.074,0.029,0.029,0.015,0.044,0.0,0.118,0.059
1930-1939,0.094,0.094,0.208,0.038,0.113,0.019,0.038,0.019,0.0,0.038,0.0,0.057,0.019,0.038,0.019,0.019,0.019,0.038,0.0,0.132
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.056,0.044,0.081,0.088,0.038,0.038,0.044,0.025,0.031,0.081,0.056,0.031,0.031,0.038,0.012,0.031,0.044,0.075,0.05,0.106
1960-1969,0.04,0.048,0.061,0.095,0.029,0.026,0.053,0.052,0.049,0.05,0.037,0.07,0.046,0.038,0.071,0.045,0.044,0.06,0.044,0.04
1970-1979,0.057,0.044,0.061,0.067,0.027,0.03,0.052,0.063,0.052,0.049,0.035,0.049,0.047,0.057,0.05,0.061,0.063,0.05,0.045,0.043
1980-1989,0.069,0.045,0.056,0.047,0.03,0.029,0.05,0.054,0.055,0.057,0.043,0.044,0.049,0.053,0.046,0.063,0.07,0.044,0.049,0.047
1990-1999,0.054,0.053,0.052,0.042,0.051,0.036,0.049,0.047,0.055,0.068,0.052,0.041,0.047,0.056,0.045,0.047,0.046,0.047,0.058,0.054
2000-2009,0.042,0.058,0.044,0.032,0.084,0.056,0.04,0.042,0.049,0.054,0.073,0.044,0.041,0.056,0.042,0.037,0.032,0.05,0.064,0.06
2010-2019,0.035,0.054,0.038,0.033,0.121,0.088,0.049,0.037,0.044,0.045,0.056,0.036,0.04,0.045,0.057,0.042,0.031,0.046,0.054,0.051
2020-2029,0.036,0.055,0.036,0.027,0.142,0.089,0.033,0.034,0.058,0.055,0.033,0.024,0.045,0.065,0.05,0.021,0.036,0.055,0.036,0.072
Total,0.057,0.052,0.081,0.048,0.068,0.044,0.045,0.049,0.042,0.053,0.041,0.04,0.044,0.047,0.042,0.038,0.043,0.047,0.052,0.066
