lemmas,0,1,2,3,4,5,6,7,8,9
mass,0.007,0.244,0.205,0.152,0.129,0.009,0.135,0.044,0.075,0.0
medi,0.395,0.057,0.02,0.07,0.05,0.145,0.018,0.107,0.04,0.098
