,0,1,2,3,4
1920-1929,0.0,0.0,1.0,0.0,0.0
1930-1939,0.0,0.0,0.5,0.5,0.0
1940-1949,,,,,
1950-1959,,,,,
1960-1969,0.135,0.189,0.459,0.162,0.054
1970-1979,0.312,0.125,0.375,0.125,0.062
1980-1989,0.388,0.15,0.312,0.138,0.012
1990-1999,0.442,0.138,0.183,0.171,0.067
2000-2009,0.547,0.055,0.256,0.11,0.031
2010-2019,0.672,0.026,0.179,0.076,0.046
2020-2029,0.833,0.167,0.0,0.0,0.0
Total,0.37,0.094,0.363,0.142,0.03
