,0,1,2,3
1920-1929,0,0,0,4
1930-1939,0,0,0,10
1940-1949,0,0,0,19
1950-1959,0,0,0,72
1960-1969,0,0,0,76
1970-1979,0,0,0,83
1980-1989,0,0,0,135
1990-1999,0,0,0,94
2000-2009,0,0,0,44
2010-2019,0,0,0,77
2020-2029,0,0,0,1
Total,0,0,0,615
